Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:6epn3r7S14KUqlReYr77hA,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,1,YEAHHHH I almost did Bieber. I thought it was a girl the first time I heard Never Say Never. Wish I could double vote but I was split this time.,01a77e9a8607468c8099259ddb841c0c
spotify:track:07GvNcU1WdyZJq3XxP0kZa,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,1,I love this pick!! Classic song and a great fit.,01a77e9a8607468c8099259ddb841c0c
spotify:track:1SJ7iG7shJKXgM2jjHI5Bk,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,-1,I kinda dig. Downvoting because it sounds the least like a girl to me of all these sorry.,01a77e9a8607468c8099259ddb841c0c
spotify:track:1Vchex0xowRj9k59RLvRfo,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,1,A perfect read of the category. Did he voice the animated Snow White? Probably. Deserves a triple vote probs but I had too many others I liked.,01a77e9a8607468c8099259ddb841c0c
spotify:track:35yZkNFNVosiHE6Uj0COVM,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,“Woman” haha ,01a77e9a8607468c8099259ddb841c0c
spotify:track:47oS7xB31QQUyPCgHpM3VZ,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,Corey I missed you 💜,01a77e9a8607468c8099259ddb841c0c
spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,Lmao the caption ,01a77e9a8607468c8099259ddb841c0c
spotify:track:5iFhkFf9JLA3XiROdYsg1i,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,Yeah. Is this Brad? Sammy would be proud I think.,01a77e9a8607468c8099259ddb841c0c
spotify:track:5KPXcfXaGOaWUqOHLDXFRP,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,I like.,01a77e9a8607468c8099259ddb841c0c
spotify:track:5pfJsMwoRYKampPay8amX0,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,1,Eddie? Sam? Loved this take ofc. I indeed thought the feature was a girl until recent history.,01a77e9a8607468c8099259ddb841c0c
spotify:track:5RdhBLmB4DyFHLglRrfx63,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,I loved this pick. My dad picked it haha.,01a77e9a8607468c8099259ddb841c0c
spotify:track:6cFZ4PLC19taNlpl9pbGMf,0f4f7275b1234127a43771293d707c5c,2025-07-21T17:56:02Z,0,So good. Not enough votes which I realize is my fault.,01a77e9a8607468c8099259ddb841c0c
spotify:track:1SJ7iG7shJKXgM2jjHI5Bk,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,0,I guess I should submit less verbose comments.,01a77e9a8607468c8099259ddb841c0c
spotify:track:6epn3r7S14KUqlReYr77hA,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,0,Prepubescent don't count.,01a77e9a8607468c8099259ddb841c0c
spotify:track:6cFZ4PLC19taNlpl9pbGMf,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,1,,01a77e9a8607468c8099259ddb841c0c
spotify:track:5RdhBLmB4DyFHLglRrfx63,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,0,"You could just use any Jackson 5 song because a 10-year-old Michael Jackson has a high-pitched voice, smh.",01a77e9a8607468c8099259ddb841c0c
spotify:track:5pfJsMwoRYKampPay8amX0,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,0,Featured singer being the feminine voice seems a little sus to me.,01a77e9a8607468c8099259ddb841c0c
spotify:track:5KPXcfXaGOaWUqOHLDXFRP,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,0,Whinecore has never done much for me.,01a77e9a8607468c8099259ddb841c0c
spotify:track:5iFhkFf9JLA3XiROdYsg1i,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,-1,Didn't like it from the start even though dude sounds like a lady.  I skipped throughout the song to see if it got interesting at all besides his voice.  It didn't.,01a77e9a8607468c8099259ddb841c0c
spotify:track:47oS7xB31QQUyPCgHpM3VZ,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,1,The nostalgia for Napoleon Dynamite is real.  But so is the boogie.  Voice is feminine enough.,01a77e9a8607468c8099259ddb841c0c
spotify:track:1Vchex0xowRj9k59RLvRfo,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,1,Upvote for most on point.,01a77e9a8607468c8099259ddb841c0c
spotify:track:07GvNcU1WdyZJq3XxP0kZa,98739434088f411e9e1918725eedb295,2025-07-21T18:21:44Z,1,,01a77e9a8607468c8099259ddb841c0c
spotify:track:6cFZ4PLC19taNlpl9pbGMf,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,Not even close. But man what a banger ,01a77e9a8607468c8099259ddb841c0c
spotify:track:6epn3r7S14KUqlReYr77hA,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,"Once again, being an adolescent/child makes this less remarkable ",01a77e9a8607468c8099259ddb841c0c
spotify:track:07GvNcU1WdyZJq3XxP0kZa,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,Close,01a77e9a8607468c8099259ddb841c0c
spotify:track:1SJ7iG7shJKXgM2jjHI5Bk,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,Loved this song. Seems like an obvious Brad pick but does not fulfill the theme I’m afraid,01a77e9a8607468c8099259ddb841c0c
spotify:track:1Vchex0xowRj9k59RLvRfo,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,Too falsetto-y to be female,01a77e9a8607468c8099259ddb841c0c
spotify:track:35yZkNFNVosiHE6Uj0COVM,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,2,"Wow, what the heck! Beautiful and perfect for the theme. “Wait, that’s a dude?” indeed",01a77e9a8607468c8099259ddb841c0c
spotify:track:47oS7xB31QQUyPCgHpM3VZ,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,1,"Nice one Corey, this was fun",01a77e9a8607468c8099259ddb841c0c
spotify:track:5iFhkFf9JLA3XiROdYsg1i,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,Doesn’t sound like a woman,01a77e9a8607468c8099259ddb841c0c
spotify:track:5KPXcfXaGOaWUqOHLDXFRP,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,-1,Falsetto != sounds like a girl,01a77e9a8607468c8099259ddb841c0c
spotify:track:5pfJsMwoRYKampPay8amX0,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,1,This is a very fun song. There is a voice in there that really sounds like a girl. I’m going to trust that that’s a dude,01a77e9a8607468c8099259ddb841c0c
spotify:track:5RdhBLmB4DyFHLglRrfx63,80a489147c544db5a53c5cede65c4617,2025-07-21T18:37:47Z,0,"He’s a kid, kind of doesn’t count ",01a77e9a8607468c8099259ddb841c0c
spotify:track:6epn3r7S14KUqlReYr77hA,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,0,"In a perfect world, this would have an upvote because it is a great fit for the theme. But given how young Justin is here, it felt slightly less compelling for the category, and there were simply other songs I enjoyed more and was more impressed by ",01a77e9a8607468c8099259ddb841c0c
spotify:track:1SJ7iG7shJKXgM2jjHI5Bk,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,-1,"I loved this song. I added it almost immediately to a playlist. But for this theme, it just wasn’t right imo. It’s a high note for sure, but at no point of this song do I find myself asking “Wait, that’s a dude?”",01a77e9a8607468c8099259ddb841c0c
spotify:track:1Vchex0xowRj9k59RLvRfo,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,0,Almost eked a vote. Great pull ,01a77e9a8607468c8099259ddb841c0c
spotify:track:35yZkNFNVosiHE6Uj0COVM,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,1,Amazing song and fantastic submission for the theme,01a77e9a8607468c8099259ddb841c0c
spotify:track:47oS7xB31QQUyPCgHpM3VZ,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,1,"Maybe my pick for #1. Jamiroquai isn’t simply singing in a high register, he actually has that female timbre, it’s a specific and hard to describe thing. But it’s perfect here",01a77e9a8607468c8099259ddb841c0c
spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,0,"I get the idea behind it, and it’s close, but the backing vocals aren’t enough",01a77e9a8607468c8099259ddb841c0c
spotify:track:5iFhkFf9JLA3XiROdYsg1i,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,1,"Is the backing vocalist here actually a dude? If so, wow, genuinely perfect submission. ",01a77e9a8607468c8099259ddb841c0c
spotify:track:5pfJsMwoRYKampPay8amX0,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,1,"I didn’t believe at first until I got to the feature, and wow yeah, great shout. Also banger ",01a77e9a8607468c8099259ddb841c0c
spotify:track:5RdhBLmB4DyFHLglRrfx63,6d8e32d102054531811ff5c8a625977c,2025-07-21T19:11:13Z,0,Arbitrarily I feel like prepubescence is against the spirit of this round ,01a77e9a8607468c8099259ddb841c0c
spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,9800e906592547f4ab0717aa56097b49,2025-07-21T19:35:42Z,1,"A great song that I only give an upvote to because I was 100% convinced the intro was not Sting. The rest doesn't sound like a woman tho, but that was impressive enough to win a vote. ",01a77e9a8607468c8099259ddb841c0c
spotify:track:5iFhkFf9JLA3XiROdYsg1i,9800e906592547f4ab0717aa56097b49,2025-07-21T19:35:42Z,0,"I love this choice (Corey?) but feel that this moves in and out of ""woman"" sounding. Therefore it is defeated by others. ",01a77e9a8607468c8099259ddb841c0c
spotify:track:5KPXcfXaGOaWUqOHLDXFRP,9800e906592547f4ab0717aa56097b49,2025-07-21T19:35:42Z,-1,"Whitney was a choice I considered myself, but when I listened to my fave of theirs, I realized it was very clearly just a man singing really high. This is the least convincing of them, imo. ",01a77e9a8607468c8099259ddb841c0c
